relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
3541,pg_catalog,pg_range,0,0,535,0,0,0,0,0,6,0,0,2020-11-10 04:21:48.974726+00,2020-11-10 14:49:11.467342+00,2020-11-10 04:21:36.514672+00,,1,1,1,0
3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,23,0,0,2020-11-10 04:21:48.973461+00,2020-11-10 14:49:11.183823+00,2020-11-10 04:21:36.513619+00,,1,1,1,0
3764,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,5,0,0,2020-11-10 04:21:48.973662+00,2020-11-10 14:49:11.232075+00,2020-11-10 04:21:36.513917+00,,1,1,1,0
1213,pg_catalog,pg_tablespace,223,446,3235,2371,0,0,0,0,2,0,0,2020-11-10 04:21:48.959202+00,2020-11-10 14:49:25.200052+00,2020-11-10 04:21:36.512339+00,,3,3,3,0
1259,pg_catalog,pg_class,2107,614812,2432669,2434244,22,14,0,14,408,0,0,2020-11-10 04:21:48.927134+00,2020-11-10 14:49:10.470322+00,2020-11-10 04:21:36.506003+00,,1,1,1,0
2617,pg_catalog,pg_operator,0,0,36957,139197,0,0,0,0,778,0,0,2020-11-10 04:21:48.927848+00,2020-11-10 14:49:10.547847+00,2020-11-10 04:21:36.503549+00,,1,1,1,0
2603,pg_catalog,pg_amproc,26,65,10847,18148,0,0,0,0,449,0,0,2020-11-10 04:21:48.931945+00,2020-11-10 14:49:10.656158+00,2020-11-10 04:21:36.508661+00,,1,1,1,0
2336,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 04:21:49.002287+00,2020-11-10 14:49:12.00073+00,,,1,1,0,0
2609,pg_catalog,pg_description,0,0,7,2,4,2,0,2,4557,0,1,2020-11-10 04:21:48.920562+00,2020-11-10 14:49:10.832571+00,2020-11-10 04:21:36.501044+00,,1,1,1,0
2611,pg_catalog,pg_inherits,0,0,0,0,0,0,0,0,0,0,0,2020-11-10 04:21:49.004119+00,2020-11-10 14:49:10.518735+00,2020-11-10 04:21:36.515619+00,,1,1,1,0
