oid,relname,relkind,size,size_pretty
16386,customer,r,43971993600,41 GB
16434,customer_i1,i,2231525376,2128 MB
16436,customer_i2,i,4704501760,4487 MB
16392,district,r,471998464,450 MB
16437,district_i1,i,41738240,40 MB
16398,history,r,11696283648,11 GB
16404,item,r,11059200,11 MB
16441,item_i1,i,2260992,2208 kB
16416,new_order,r,1164009472,1110 MB
16439,new_order_i1,i,1456472064,1389 MB
16428,order_line,r,144766623744,135 GB
16446,order_line_i1,i,61941186560,58 GB
16422,orders,r,8835473408,8426 MB
16443,orders_i1,i,5080686592,4845 MB
16445,orders_i2,i,5729271808,5464 MB
16413,stock,r,84679827456,79 GB
16448,stock_i1,i,6308511744,6016 MB
16410,warehouse,r,83591168,80 MB
16450,warehouse_i1,i,3596288,3512 kB
